NAME,C_DIFFUSE,C_SPECULAR,SELF_LIGHT,SPEC_IDX,SPEC_POWER,REFRACTION_COLOR,REFLECTION_COLOR,REFRACTION_IDX
whiteplastic,FFFFFF,FFFFFF,000000,0.3,100,000000,000000,0
redplastic,FF0000,FFFFFF,000000,0.3,100,000000,000000,0
blueplastic,0000FF,FFFFFF,000000,0.3,100,000000,000000,0
greenplastic,00FF00,FFFFFF,000000,0.3,100,000000,000000,0
transparent glass,000000,FAFAFF,000000,0.1,80,FAFAFA,080808,1.5
mirror glass,000000,FAFAFF,000000,0.1,80,000000,FFFFFF,0
bronze,8C7853,74654D,000000,1,25,000000,79571A,0
gold,FFE03F,FFFFFF,000000,2,75,000000,FFE03F,0
iron,999980,FFFFFF,000000,1,100,000000,FFFFFF,0
alloy,CCCCCC,FFFFFF,000000,0.5,50,000000,FFFFFF,0
